Model,Split,Level,Family,Feature Set,MAE,RMSE,MAPE,OPE,R2
SeasonalNaive,Test,Top,Baseline,Lag,420321.9341666873,440320.97610744915,11.349436310684109,-0.11029348530986059,-4.926659123964927
LagML,Test,Top,ML,Lag+calendar,434579.4783296727,470715.3680913833,11.643046947768417,-0.11860648860466236,-5.7731072777724055
StatisticalFallback,Test,Top,Statistical,Lag,420321.9341666873,440320.97610744915,11.349436310684109,-0.11029348530986059,-4.926659123964927
NeuralFallback,Test,Top,Neural,Lag,420321.9341666873,440320.97610744915,11.349436310684109,-0.11029348530986059,-4.926659123964927
SeasonalNaive,Test,Middle,Baseline,Lag,23020.063373015873,31873.920711033017,14.033117257772684,-0.11029348530986272,0.9479478519516995
LagML,Test,Middle,ML,Lag+calendar,12922.24574478822,20145.53590191276,10.702460130533511,0.012957693491509067,0.9792066085293262
StatisticalFallback,Test,Middle,Statistical,Lag,23020.063373015873,31873.920711033017,14.033117257772684,-0.11029348530986272,0.9479478519516995
NeuralFallback,Test,Middle,Neural,Lag,23020.063373015873,31873.920711033017,14.033117257772684,-0.11029348530986272,0.9479478519516995
SeasonalNaive,Test,Bottom,Baseline,Lag,524.1411866666667,854.4456003274872,160.2158531459311,-0.05280923558187864,0.5831252566465537
LagML,Test,Bottom,ML,Lag+calendar,344.62314758140525,631.6957838424338,113.68272824693888,-0.020208519744665438,0.7721480736179874
StatisticalFallback,Test,Bottom,Statistical,Lag,524.1411866666667,854.4456003274872,160.2158531459311,-0.05280923558187864,0.5831252566465537
NeuralFallback,Test,Bottom,Neural,Lag,524.1411866666667,854.4456003274872,160.2158531459311,-0.05280923558187864,0.5831252566465537
